CHAINS,OTOM,INPUT1,INPUT2,NRG,OUTPUT1,OUTPUT2,OTOMRO,CHEMIST WALLET,initateReaction() TX HASH,analyseReactions() TX HASH,NOTES
0-chain,As-5,mineable,,0
0-chain,As-6,mineable,,0
0-chain,As-7,mineable,,0
0-chain,Cl-25,mineable,,0
0-chain,Cl-26,mineable,,0
0-chain,Cl-27,mineable,,0
0-chain,Ct-13,mineable,,0
0-chain,Ct-15,mineable,,0
0-chain,Ct-17,mineable,,0
0-chain,Dz-7,mineable,,0
0-chain,Dz-8,mineable,,0
0-chain,Dz-9,mineable,,0
0-chain,Eb-19,mineable,,0
0-chain,Eb-20,mineable,,0
0-chain,Eb-21,mineable,,0
0-chain,Eb-22,mineable,,0
0-chain,Ei-4,mineable,,0
0-chain,Ei-5,mineable,,0
0-chain,Gj-11,mineable,,0
0-chain,Gy-67,mineable,,0
0-chain,K-31,mineable,,0
0-chain,K-34,mineable,,0
0-chain,Kk-70,mineable,,0
0-chain,Kk-71,mineable,,0
0-chain,L-51,mineable,,0
0-chain,Mt-32,mineable,,0
0-chain,Mt-34,mineable,,0
0-chain,Mt-35,mineable,,0
0-chain,Nd-30,mineable,,0
0-chain,P-21,mineable,,0
0-chain,P-23,mineable,,0
0-chain,Pb-48,mineable,,0
0-chain,Ro-22,mineable,,0
0-chain,Ro-23,mineable,,0
0-chain,Ro-24,mineable,,0
0-chain,S-102,mineable,,0
0-chain,Sr-1,mineable,,0
0-chain,Sr-2,mineable,,0
0-chain,Sr-3,mineable,,0
0-chain,T-15,mineable,,0
0-chain,T-16,mineable,,0
0-chain,T-17,mineable,,0
0-chain,Uq-47,mineable,,0
0-chain,Vi-10,mineable,,0
0-chain,Vi-11,mineable,,0
0-chain,Wy-50,mineable,,0
0-chain,Xj-17,mineable,,0
0-chain,Xj-18,mineable,,0
0-chain,Yu-27,mineable,,0
0-chain,Yu-29,mineable,,0
0-chain,Yv-72,mineable,,0
1-chain,Ro-25,Cl-25,,0,Ro-25,,66992,0x38a7af58e2d293bb4e91f04945787aabd3c07e9c,0x0f57a848c10ff7c76f1dc5ebc92dd2470607377201c90cc26a5d0ad53065eac6,0x4fe4cda354f6c5f7bed2d2faf1c0c3bf86014043d5656954a6a5cce0a1c6dc62,
1-chain,Vi-13,Ct-13,,0,Vi-13,,58531,0x620051b8553a724b742ae6ae9cc3585d29f49848,0xacfb779672629513c28bdd30877601fbf95523c94bb6f262f588bf21ff8fe30d,0x7fab3d7102969dc7dd6fd88514fe4dc8ed48ce673c8ef88a630c9257821ee8f1,
1-chain,Xj-19,Eb-19,,0,Xj-19,,49573,0x620051b8553a724b742ae6ae9cc3585d29f49848,0xcb424771669745f8cfb5c639db7cb9d6d02f8edc308ed3d52b3083ebf19d2144,0xaffb494f70feec4ef7aba85a2c091f6c5cb8be4d09ffba042025f23750f825e6,
1-chain,K-32,Mt-32,,0,K-32,,69375,0xbb077895aee1f4b89bb56f79030cb700aee47ea8,0x8ca1cebc55c5e0a0f9fa899fc825bcfabaf928dfccd9782be559e1f8684508f3,0x75664df51e5d64bd3e730c0b918f98dcef696c423b6cd059b37a679f2245ba2c,
1-chain,Gj-10,Vi-10,,0,Gj-10,,61543,0x96d563861a62d40a8f84516f5140fc5e2169c49a,0xff6ea8930ff554fcb7a64f6e4427059c3b01615e436ab45846460974135cb2f1,0x49d7d987d21435f455fe094660ba572144fa8fb59bdcda8d75dbd81fdf54225c,
1-chain,Co-80,S-102,,0,P-22,Co-80,38882,0x13c942e3f8be4faf966ef03e6038b33d000db22f,0x59687fb7646b24e9e4543418c9cb304a404128b586b847ab81add9434fe524e2,0x74bcd9d7feddd13aa664da26401901f4624fb1edaf4c30ea99f2f4438d63be59,
